Price,Location,Latitude,Longitude,Link,Title,Description,Square Meter Land,Square Meter Construction,Bathroom,Bedroom,Source
"['10,000']","Renta Departamentos CENTRO, Nuevo León",25.6968026883045,-100.310145137573,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30807081&Plaza=2&colonia-inmueble=CENTRIKA VICTORIA ELITE Elite&Imagenes=10&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRIKA VICTORIA ELITE Elite,"CENTRIKA VICTORIA ELITE Elite 3 Recámaras 2baños $10,000  Cocina Integral con Estufa y Refrigerador, Lavadora, Secadora, Boiler de paso, cada recámara con Mini split y clósets, todo el depa con Persianas, cuenta con una cama matrimonial y una individual. 81-1244-5443.",Null,Null,2 Baños,3 Recámaras,['avisosdeocasion']
"['5,400']","Renta Departamentos CENTRO, Nuevo León",25.5938129,-100.0107966,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30808692&Plaza=2&colonia-inmueble=CENTRO&Imagenes=0&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRO,,Null,Null,1 Baño,2 Recámaras,['avisosdeocasion']
"['3,000']","Renta Departamentos CENTRO, Nuevo León",25.5938129,-100.0107966,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30817022&Plaza=2&colonia-inmueble=CENTRO&Imagenes=8&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRO,"CENTRO 1 Recámara 1baño $3,000  cerca de macroplaza. 811-4853-189.",Null,Null,1 Baño,1 Recámara,['avisosdeocasion']
"['5,300']","Renta Departamentos CENTRO, Nuevo León",25.5938129,-100.0107966,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30824210&Plaza=2&colonia-inmueble=CENTRO&Imagenes=17&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRO,"CENTRO 2 Recámaras 1baño amueblado $5,300  mensuales, cuenta con sala comedor, frigobar, estufa, y boiler. Se aceptan 1 ó 2 personas, No se aceptan mascotas. No incluye servicios. Informes 811-280-26-99. 81-8357-52-29.",Null,Null,1 Baño,2 Recámaras,['avisosdeocasion']
"['12,500']","Renta Departamentos CENTRO, Nuevo León",25.6712733,-100.3251072,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30819479&Plaza=2&colonia-inmueble=CENTRO - EL SEMILLERO&Imagenes=9&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRO - EL SEMILLERO,"CENTRO - EL SEMILLERO 2 Recámaras 2baños amueblado $12,500  Hermoso departamento en el semillero, totalmente, amueblado, equipado y decorado, cuenta con sala comedor, cocina integral con estufa, refrigerador, microondas, lavadora, secadora y boiler, Incluye el mantenimiento y 2 cajones de estacionamiento, vigilancia, acceso controlado, excelente y céntrica ubicación, muy cerca de avenidas como Constitución, Venustiano Carranza, Pino Suárez e Hidalgo a unos pasos de la Universidad Regiomontana. 81-8365-79-99, 812-583-4650.",Null,Null,2 Baños,2 Recámaras,['avisosdeocasion']
"['14,500']","Renta Departamentos CENTRO, Nuevo León",25.6730145914501,-100.309207970544,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30819740&Plaza=2&colonia-inmueble=CENTRO DE MONTERREY&Imagenes=7&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRO DE MONTERREY,"CENTRO DE MONTERREY 2 Recámaras 2baños $14,500  Incluye mantenimiento y agua. Departamento nuevo, amueblado y equipado, súper ubicado, climas minsplit total, cocina integral, estufa, microondas, campana, etc., lavadora secadora, persianas. Portones de acceso automáticos, vigilancia 24 hrs., amenidades. Citas: TORRE INMOBILIARIA, Tel. 811-170-89-46 y 811-596-54-90",Null,Null,2 Baños,2 Recámaras,['avisosdeocasion']
"['15,500']","Renta Departamentos CENTRO, Nuevo León",25.6730145914501,-100.309207970544,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30817341&Plaza=2&colonia-inmueble=CENTRO DE MONTERREY&Imagenes=14&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRO DE MONTERREY,"CENTRO DE MONTERREY 2 Recámaras 2baños $15,500  A Estrenar en centro de MTY, Torre KYO RADIANT. 2 recámaras 2 baños 2 cajones de estacionamiento. Amueblado: cocina, 3 minisplits, clósets, sala, comedor, centro lavado, microonda, horno, boiler, petfriendly, etc. La torre cuenta con: seguridad 24/7, GYM, asadores, elevadores, co-working con internet, salas tv rooms, área fogatero, mesas y más. 81-1611-5375.",Null,Null,2 Baños,2 Recámaras,['avisosdeocasion']
"['9,000']","Renta Departamentos CENTRO, Nuevo León",25.6730145914501,-100.309207970544,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30817403&Plaza=2&colonia-inmueble=CENTRO DE MONTERREY&Imagenes=28&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRO DE MONTERREY,"CENTRO DE MONTERREY 2 Recámaras 1baño $9,000  con electrodomésticos, minisplits y terraza 81-8362-8383.",Null,Null,1 Baño,2 Recámaras,['avisosdeocasion']
"['6,500']","Renta Departamentos CENTRO, Nuevo León",25.6730145914501,-100.309207970544,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30817635&Plaza=2&colonia-inmueble=CENTRO DE MONTERREY&Imagenes=12&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRO DE MONTERREY,"CENTRO DE MONTERREY 2 Recámaras 1baño $6,500  Departamento en renta en Centro de Mty (Serafin Peña) cuenta con 2 recámaras, 1 baño, área de sala, comedor, cocina integral, lavanderia techada, 1 cajón de estacionamiento, fácil acceso a avenidas, renta: $6,500 81-1512-9308.",Null,Null,1 Baño,2 Recámaras,['avisosdeocasion']
"['15,000']","Renta Departamentos CENTRO, Nuevo León",25.6730145914501,-100.309207970544,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30814525&Plaza=2&colonia-inmueble=CENTRO DE MONTERREY&Imagenes=12&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRO DE MONTERREY,"CENTRO DE MONTERREY 2 Recámaras 2baños Amueblado $15000 DEPARTAMENTO NUEVO EN RENTA TORRE VITA, con excelente ubicación cerca de avenida con alto flujo vehicular, el departamento se distribuye en sala-comedor, lavandería, 2 recámaras, 2 baños. La torre cuenta con seguridad 24/ 7, Roof Garden y salón de usos múltiples en azotea. Amueblado y equipado. Incluye cuota de mantenimiento, servicio de internet. Información 81-1626-60-82.",Null,Null,2 Baños,2 Recámaras,['avisosdeocasion']
"['5,500']","Renta Departamentos CENTRO, Nuevo León",25.6730145914501,-100.309207970544,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30806681&Plaza=2&colonia-inmueble=CENTRO DE MONTERREY&Imagenes=3&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRO DE MONTERREY,"CENTRO DE MONTERREY 1 Recámara 1baño amueblado $5,500  ejecutivos, profesionistas, estudiantes de maestria, no niños, no mascotas, con clima, la renta incluye agua y gas, Inf. 811-025-7152.",Null,Null,1 Baño,1 Recámara,['avisosdeocasion']
"['6,000']","Renta Departamentos CENTRO, Nuevo León",25.6730145914501,-100.309207970544,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30808480&Plaza=2&colonia-inmueble=CENTRO DE MONTERREY&Imagenes=11&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRO DE MONTERREY,"CENTRO DE MONTERREY 1 Recámara 1baño amueblado $6,000  equipado, para 1 persona, limpio, cómodo y bien ubicado, ventiladores, aire acondicionado. 818-396-65-37.",Null,Null,1 Baño,1 Recámara,['avisosdeocasion']
"['3,500']","Renta Departamentos CENTRO, Nuevo León",25.6730145914501,-100.309207970544,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30825772&Plaza=2&colonia-inmueble=CENTRO DE MONTERREY&Imagenes=10&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRO DE MONTERREY,"CENTRO DE MONTERREY 2 Recámaras 1baño $3,500  Amplio departamento, 2 recámaras, cocina, lavanderia, Tapia Ote 415 C Altos con Emilio Carranza, segundo piso. 818-115-4792 / 818-259-0589",Null,Null,1 Baño,2 Recámaras,['avisosdeocasion']
"['14,000']","Renta Departamentos CENTRO, Nuevo León",25.6730145914501,-100.309207970544,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30841934&Plaza=2&colonia-inmueble=CENTRO DE MONTERREY&Imagenes=8&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRO DE MONTERREY,"CENTRO DE MONTERREY 2 Recámaras 2baños $14,000  Estrena hermoso departamento con vista al cerro de la silla, son 77 metros cuadrados, cuenta con sala comedor cocina y lavandería equipada con todos los electrodomésticos, barra desayunadora, dos recámaras la principal con baño y clóset de pared la secundaria con clóset y comparte baño con el área social, 1 estudio (cabe cama individual o sala de TV, El departamento cuenta con 4 minisplits, candiles y persianas Blackout Estacionamiento para 1 o 2 carros, y el edificio cuenta con seguridad, control de accesos Amenidades, Cowork, Sala de Juntas, Cuarto de juegos para ninos, GYM...ID 13029....",Null,Null,2 Baños,2 Recámaras,['avisosdeocasion']
"['3,000']","Renta Departamentos CENTRO, Nuevo León",25.6730145914501,-100.309207970544,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30844093&Plaza=2&colonia-inmueble=CENTRO DE MONTERREY&Imagenes=7&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRO DE MONTERREY,"CENTRO DE MONTERREY 1 Recámara 1baño $3,000  Privada Treviño 124 A, cruz con 15 de Mayo a cuadra y media de Venustiano Carranza, con patio. 81-8115-4792 y 818-259-0589.",Null,Null,1 Baño,1 Recámara,['avisosdeocasion']
"['7,700']","Renta Departamentos CENTRO, Nuevo León",25.6730145914501,-100.309207970544,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30844440&Plaza=2&colonia-inmueble=CENTRO DE MONTERREY&Imagenes=14&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRO DE MONTERREY,"CENTRO DE MONTERREY 2 Recámaras 1baño amueblado $7,700  cocina integral con estufa, 2 climas, boiler, lavandería, sala comedor, camas, 1 cajón de estacionamiento. 81-8342-32-26.",Null,Null,1 Baño,2 Recámaras,['avisosdeocasion']
"['14,500']","Renta Departamentos CENTRO, Nuevo León",25.6730145914501,-100.309207970544,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30845295&Plaza=2&colonia-inmueble=CENTRO DE MONTERREY&Imagenes=0&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRO DE MONTERREY,,Null,Null,2 Baños,3 Recámaras,['avisosdeocasion']
